,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,0.29014029502868655,0.002909739946315985,12.036712217330933,0.09069791196202497,4,36,uniform,"{'n_jobs': 4, 'n_neighbors': 36, 'weights': 'uniform'}",0.47270471464019853,0.48537647790914745,0.4631710362047441,0.4651600753295669,0.4703656998738966,0.471375,0.007817105554665815,15,0.5043832185347527,0.5039887376818395,0.5059393560487653,0.5053847354456064,0.5085749922045525,0.5056542079831032,0.0016170411768593148
15,0.2845329284667969,0.0027616277938231327,12.060076045989991,0.07512089984441027,4,36,distance,"{'n_jobs': 4, 'n_neighbors': 36, 'weights': 'distance'}",0.47890818858560796,0.49471064094586187,0.4737827715355805,0.4714375392341494,0.47414880201765447,0.478625,0.008422965760923318,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0.28595619201660155,0.003274953748373558,12.052243423461913,0.0674951156048472,4,41,uniform,"{'n_jobs': 4, 'n_neighbors': 41, 'weights': 'uniform'}",0.4658808933002481,0.48599875544492843,0.46441947565543074,0.4563716258631513,0.4646910466582598,0.4675,0.009868777458887385,17,0.4949906073888541,0.4942906303769748,0.4951547358549547,0.4958638988606212,0.49750545681322106,0.4955610658589252,0.0010933340991723342
17,0.28560171127319334,0.004284531269111446,12.020865774154663,0.07519050482358856,4,41,distance,"{'n_jobs': 4, 'n_neighbors': 41, 'weights': 'distance'}",0.47766749379652607,0.49595519601742377,0.4731585518102372,0.4651600753295669,0.47414880201765447,0.47725,0.010231438424390856,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0.2872320652008057,0.006150505231167421,12.10105996131897,0.048524681786691386,4,46,uniform,"{'n_jobs': 4, 'n_neighbors': 46, 'weights': 'uniform'}",0.46153846153846156,0.47666459240821407,0.4544319600499376,0.448210922787194,0.45334174022698615,0.458875,0.009882719634047082,22,0.48747651847213525,0.48662599718442046,0.48390121913097844,0.49071328234743256,0.4937636420330527,0.4884961318336039,0.003415044885795155
19,0.2853099346160889,0.002437275966287285,12.040887117385864,0.1367532375503984,4,46,distance,"{'n_jobs': 4, 'n_neighbors': 46, 'weights': 'distance'}",0.47084367245657566,0.48537647790914745,0.4681647940074906,0.4576271186440678,0.467843631778058,0.47,0.008928465294623837,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.2846536159515381,0.002477169653678575,11.978789949417115,0.13611371982635515,4,51,uniform,"{'n_jobs': 4, 'n_neighbors': 51, 'weights': 'uniform'}",0.4633995037220844,0.4760423148724331,0.4594257178526841,0.44758317639673567,0.44577553593947034,0.4585,0.011074955854663691,24,0.48074514715090794,0.4864695760988581,0.47999374804626443,0.4857187451225222,0.48705955721858435,0.48399735472742744,0.0030019283161579514
21,0.28773064613342286,0.002328400142164948,12.105202674865723,0.10570523627685544,4,51,distance,"{'n_jobs': 4, 'n_neighbors': 51, 'weights': 'distance'}",0.47084367245657566,0.48164281269446174,0.4675405742821473,0.455743879472693,0.4558638083228247,0.466375,0.009773941579271346,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0.2890165328979492,0.00406146844152687,12.104174280166626,0.12599443487415848,4,56,uniform,"{'n_jobs': 4, 'n_neighbors': 56, 'weights': 'uniform'}",0.45905707196029777,0.4723086496577474,0.4525593008739076,0.4381669805398619,0.44388398486759145,0.45325,0.011939269439760425,25,0.4768315591734502,0.47833567964961676,0.4746795873710535,0.4815046043390042,0.47988774555659497,0.4782478352179439,0.002368197550962646
23,0.2877808094024658,0.003694540358840239,12.071079111099243,0.03840351578465117,4,56,distance,"{'n_jobs': 4, 'n_neighbors': 56, 'weights': 'distance'}",0.4633995037220844,0.477286869943995,0.4631710362047441,0.44569993722536094,0.4552332912988651,0.461,0.01042088731315717,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.28398761749267576,0.0030323507864791236,12.0806396484375,0.08025899910193396,4,61,uniform,"{'n_jobs': 4, 'n_neighbors': 61, 'weights': 'uniform'}",0.45409429280397023,0.4673304293714997,0.4488139825218477,0.4369114877589454,0.444514501891551,0.450375,0.010194499359216076,28,0.47213525360050096,0.46957609885812607,0.47202250703344795,0.47604182924925864,0.4764577486747739,0.4732466874832215,0.002620337969502647
25,0.2828709125518799,0.0019525771518226693,12.070725297927856,0.08155052771948569,4,61,distance,"{'n_jobs': 4, 'n_neighbors': 61, 'weights': 'distance'}",0.4596774193548387,0.4747977598008712,0.4594257178526841,0.44569993722536094,0.45334174022698615,0.458625,0.009575544780749,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,0.2815709590911865,0.003955969526757986,12.021031665802003,0.09792003308678103,4,66,uniform,"{'n_jobs': 4, 'n_neighbors': 66, 'weights': 'uniform'}",0.4509925558312655,0.4579962663347853,0.44132334581772786,0.4293785310734463,0.4394703656998739,0.443875,0.0098620532339556,31,0.4686912961803381,0.46519630846238075,0.4674898405751797,0.47089121273606993,0.4713127533520424,0.4687162822612022,0.002252420198538342
27,0.28903899192810056,0.002113000045015506,12.029559326171874,0.2144205523479617,4,66,distance,"{'n_jobs': 4, 'n_neighbors': 66, 'weights': 'distance'}",0.45781637717121587,0.46546359676415683,0.4500624219725343,0.4394224733207784,0.4501891551071879,0.452625,0.008702916502679663,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,0.2866164207458496,0.0025299089027178935,12.08405237197876,0.10130129925491344,4,71,uniform,"{'n_jobs': 4, 'n_neighbors': 71, 'weights': 'uniform'}",0.4497518610421836,0.4511512134411948,0.4419475655430712,0.4331450094161959,0.444514501891551,0.444125,0.006425153068822226,30,0.46242955541640574,0.45690599092757705,0.46326977180368867,0.4655845169346028,0.4667913938260056,0.462996245781656,0.003423140513684348
29,0.2862217903137207,0.0016452884856215707,12.121429061889648,0.057714586454270383,4,71,distance,"{'n_jobs': 4, 'n_neighbors': 71, 'weights': 'distance'}",0.45347394540942926,0.46235220908525204,0.449438202247191,0.4369114877589454,0.4520807061790668,0.450875,0.008206612221476457,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
