,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_jobs,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.2384286880493164,12.34328007698059,0.21625,0.22006058487450275,4,1001,"{'n_neighbors': 1001, 'n_jobs': 4}",11,0.21774193548387097,0.22103944896681277,0.2209085252022402,0.216017519161583,0.21348314606741572,0.21959987496092528,0.2128060263653484,0.22085219291400032,0.21626733921815888,0.2227938883691924,0.002155544568235708,0.06264881582411258,0.002950043355015456,0.002263378014249925
11,0.2400146484375,12.39220986366272,0.207125,0.21006145251669478,4,1101,"{'n_neighbors': 1101, 'n_jobs': 4}",12,0.20719602977667498,0.21180338134001256,0.21095208462974488,0.2072579383700923,0.20411985018726592,0.2092841512972804,0.20338983050847462,0.20899016700483847,0.20996216897856246,0.21297162457125038,0.0022455760926422897,0.02878583430835963,0.0030208442680801787,0.002054991913192761
12,0.23977718353271485,12.441972684860229,0.199625,0.20143564903893485,4,1201,"{'n_neighbors': 1201, 'n_jobs': 4}",13,0.19851116625310175,0.20366311834690043,0.20224019912881142,0.1966213045518536,0.19787765293383272,0.20115661144107536,0.1989956057752668,0.19978148899641018,0.2005044136191677,0.20595572185843466,0.0025874129099522944,0.07164777130226319,0.0015708063031510573,0.003205766619050857
13,0.2382279872894287,12.436780166625976,0.190625,0.19221844389316906,4,1301,"{'n_neighbors': 1301, 'n_jobs': 4}",14,0.1892059553349876,0.19411396368190356,0.19166148102053515,0.18958235570154855,0.18476903870162298,0.19209127852453892,0.19397363465160075,0.1919775245824879,0.1935687263556116,0.19332709697536637,0.0011502329206502164,0.06169974954146114,0.0033822160947712667,0.0015391738709703148
14,0.23888015747070312,12.527754259109496,0.184875,0.18615555359079466,4,1401,"{'n_neighbors': 1401, 'n_jobs': 4}",15,0.184863523573201,0.18644333124608642,0.18543870566272558,0.18363835445017987,0.17852684144818973,0.1877149109096593,0.18518518518518517,0.18589043233962854,0.19041614123581338,0.1870907390084191,0.0010587914355777671,0.04783003811793227,0.003773596582400815,0.0013996830915211551
15,0.23965344429016114,12.54493169784546,0.180125,0.18053060135332272,4,1501,"{'n_neighbors': 1501, 'n_jobs': 4}",16,0.17679900744416874,0.18174702567313714,0.17859365276913503,0.1781636164554982,0.17790262172284646,0.1806814629571741,0.18141870684243566,0.17980334009676915,0.18600252206809584,0.18225756158403492,0.001952111892512953,0.06406469144457122,0.0032971189107548304,0.001457145526680665
16,0.24236316680908204,12.646368932723998,0.174625,0.17568717747205992,4,1601,"{'n_neighbors': 1601, 'n_jobs': 4}",17,0.17431761786600497,0.17720726361928615,0.17361543248288736,0.1734709838886282,0.17228464419475656,0.17552360112535167,0.1713747645951036,0.17558919931325112,0.18158890290037832,0.17664483941378234,0.002671726560572274,0.059564922744803524,0.003610883731823996,0.0012787219580239156
17,0.2397367000579834,12.65237135887146,0.169625,0.17075050683676815,4,1701,"{'n_neighbors': 1701, 'n_jobs': 4}",18,0.16811414392059554,0.17329367564182843,0.1655258245177349,0.16924761457844517,0.16853932584269662,0.16974054391997498,0.1657250470809793,0.17043858280006244,0.18032786885245905,0.1710321172435298,0.001104230356939879,0.058899143233455284,0.005459833135142232,0.0014087596551809324
18,0.2414018154144287,12.734798765182495,0.164,0.16512535708626527,4,1801,"{'n_neighbors': 1801, 'n_jobs': 4}",19,0.163151364764268,0.16687539135879775,0.15992532669570628,0.1633036133270765,0.16354556803995007,0.1655204751484839,0.15881983678593847,0.1648197284220384,0.1746532156368222,0.16510757717492985,0.0010996280965847795,0.08097691434536004,0.005600403540238161,0.0011516261170985273
19,0.23894519805908204,12.745977926254273,0.159125,0.1610000310258147,4,1901,"{'n_neighbors': 1901, 'n_jobs': 4}",20,0.15632754342431762,0.16202254226675017,0.1537025513378967,0.15970592835914282,0.15480649188514356,0.16161300406376994,0.15819209039548024,0.15982519119712815,0.17276166456494324,0.1618334892422825,0.001776103537000098,0.06304187903594424,0.006946752670849151,0.0010169432743917081
20,0.23981242179870604,12.760029554367065,0.155375,0.1572182415394497,4,2001,"{'n_neighbors': 2001, 'n_jobs': 4}",21,0.15446650124069478,0.15826549780839072,0.15308027380211575,0.1559518223056468,0.15168539325842698,0.15645514223194748,0.15317011927181418,0.1565475261432808,0.16456494325346785,0.15887121920798253,0.0026156598193582807,0.07460530637570843,0.004654178465757909,0.0011371084589447732
21,0.24029068946838378,12.79191451072693,0.15125,0.15315613852767934,4,2101,"{'n_neighbors': 2101, 'n_jobs': 4}",22,0.15074441687344914,0.15513462742642456,0.14810205351586808,0.15141561082433913,0.15043695380774033,0.15270396999062208,0.14814814814814814,0.15155298891837055,0.15889029003783103,0.15497349547864048,0.001509236884920815,0.08616730545366995,0.003957650142233081,0.0016137649365066164
22,0.2395254611968994,12.846219778060913,0.148375,0.14912442653554223,4,2201,"{'n_neighbors': 2201, 'n_jobs': 4}",23,0.14702233250620347,0.15153412648716344,0.1462352209085252,0.14656655717190678,0.14794007490636704,0.14785870584557675,0.14500941619585686,0.14811924457624473,0.1557377049180328,0.15154349859681945,0.0019750270306667273,0.06816267855184609,0.003785345530458071,0.0020402793344159497
23,0.24060411453247071,12.85527982711792,0.145875,0.14643695879373853,4,2301,"{'n_neighbors': 2301, 'n_jobs': 4}",24,0.14516129032258066,0.1476205385097057,0.14374611076540136,0.14453308305959645,0.14357053682896379,0.14676461394185683,0.14438166980539863,0.14452942094584048,0.15258511979823455,0.14873713751169318,0.001746669672109506,0.04790509906487766,0.0033833237978300314,0.0016770500545235615
24,0.23854966163635255,12.841354131698608,0.1415,0.14246745354128176,4,2401,"{'n_neighbors': 2401, 'n_jobs': 4}",25,0.141439205955335,0.1427676894176581,0.13939016801493467,0.14124824026278743,0.14169787765293385,0.14145045326664582,0.13998744507219082,0.14140783518027158,0.1450189155107188,0.14546304957904585,0.0035880362812520214,0.11704078676921317,0.0019527429087567779,0.001594195649911751
25,0.2417121410369873,12.910602951049805,0.13725,0.13915457083836105,4,2501,"{'n_neighbors': 2501, 'n_jobs': 4}",26,0.13647642679900746,0.13963681903569192,0.13378967019290602,0.1374941342092914,0.1348314606741573,0.13723038449515473,0.13873195229127433,0.1390666458560949,0.1424968474148802,0.1423448705955722,0.003646318929241955,0.13378382047526713,0.003097124977478398,0.0018372724103809248
